alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1,runtime_seconds
0.04,15,0.3540041067761807,0.3170441001191895,0.36018957345971564,0.33724247226624404,0.26651735722284436,0.4473684210526316,0.33403508771929824,0.5092460881934566,0.30742808072133965,0.38340026773761715,0.3515592759077198,0.3586159524499971,40.7
0.04,16,0.35852156057494866,0.3263768115942029,0.3701512163050625,0.34688847812692547,0.2434729811778992,0.42077649527806926,0.30846153846153845,0.5220293724966623,0.32637729549248745,0.40164355418592707,0.3523311902581303,0.3663078392637333,41.8
0.04,17,0.36505652620760537,0.3412348401323043,0.39755940912010274,0.36725007416196975,0.22059800664451829,0.3933649289099526,0.2826734780757769,0.5336351875808538,0.33482142857142855,0.4114713216957606,0.3537982913111691,0.3749743304469675,41.0
0.04,18,0.36772867420349437,0.34035656401944897,0.39375,0.36511156186612576,0.19044062733383121,0.3422818791946309,0.24472168905950095,0.5397014925373135,0.35873015873015873,0.43098927294398093,0.3469408412898692,0.38079940907584,41.3
0.04,19,0.37181069958847734,0.34185303514376997,0.3921808185705559,0.36529160739687055,0.1652892561983471,0.3067484662576687,0.21482277121374865,0.5445823927765236,0.3753403345001945,0.44439327653695604,0.34150255171585836,0.3869510127811842,40.2
0.04,20,0.38127572016460903,0.3492647058823529,0.3977272727272727,0.371923937360179,0.14848762603116408,0.2764505119453925,0.19320214669051877,0.5501340482573727,0.3943120676402767,0.45936870382807254,0.34149826262625677,0.39719149147891114,40.2
0.05,3,0.8469867211440245,0.136986301369863,0.16129032258064516,0.14814814814814814,0.9081405693950177,0.9368976594768242,0.9222950079060311,0.18333333333333332,0.09401709401709402,0.12429378531073447,0.39824564712163796,0.8356576749038013,38.9
0.05,4,0.7789366053169734,0.14655172413793102,0.17894736842105263,0.16113744075829384,0.8680620884289746,0.9004635276896804,0.8839659920967549,0.23103448275862068,0.1324110671936759,0.16834170854271358,0.4044817137992542,0.7677876639556902,41.3
0.05,5,0.7038854805725971,0.12681912681912683,0.15885416666666666,0.14104046242774568,0.8214196137446702,0.8591290661070304,0.8398512629824336,0.25118483412322273,0.15273775216138327,0.18996415770609318,0.39028529437209086,0.6927418563413742,44.1
0.05,6,0.6445807770961145,0.13993174061433447,0.16942148760330578,0.15327102803738318,0.7709158089205596,0.8235128277417536,0.7963467829880043,0.28932038834951457,0.17345750873108265,0.21688500727802038,0.38883427276780264,0.6309058155583567,44.8
0.05,7,0.5873080859774821,0.16573033707865167,0.19504132231404958,0.1791951404707669,0.7188542825361512,0.7914880587875076,0.7534246575342466,0.2876949740034662,0.16370808678500987,0.20867379006913891,0.3804311960247175,0.5692309548867492,44.7
